"Time","Contracts","Funding Interval","Funding Rate"
"2024-11-28 17:00:00","BTCUSDT Perpetual","8h","0.014326%"
"2024-11-28 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-28 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-27 17:00:00","BTCUSDT Perpetual","8h","0.016794%"
"2024-11-27 09:00:00","BTCUSDT Perpetual","8h","0.031205%"
"2024-11-27 01:00:00","BTCUSDT Perpetual","8h","0.029599%"
"2024-11-26 17:00:00","BTCUSDT Perpetual","8h","0.017936%"
"2024-11-26 09:00:00","BTCUSDT Perpetual","8h","0.021902%"
"2024-11-26 01:00:00","BTCUSDT Perpetual","8h","0.025233%"
"2024-11-25 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-25 09:00:00","BTCUSDT Perpetual","8h","0.021034%"
"2024-11-25 01:00:00","BTCUSDT Perpetual","8h","0.023228%"
"2024-11-24 17:00:00","BTCUSDT Perpetual","8h","0.016148%"
"2024-11-24 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-24 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-23 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-23 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-23 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-22 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-22 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-22 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-21 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-21 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-21 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-20 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-20 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-20 01:00:00","BTCUSDT Perpetual","8h","0.017959%"
"2024-11-19 17:00:00","BTCUSDT Perpetual","8h","0.030216%"
"2024-11-19 09:00:00","BTCUSDT Perpetual","8h","0.021606%"
"2024-11-19 01:00:00","BTCUSDT Perpetual","8h","0.021318%"
"2024-11-18 17:00:00","BTCUSDT Perpetual","8h","0.036450%"
"2024-11-18 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-18 01:00:00","BTCUSDT Perpetual","8h","0.010577%"
"2024-11-17 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-17 09:00:00","BTCUSDT Perpetual","8h","0.015765%"
"2024-11-17 01:00:00","BTCUSDT Perpetual","8h","0.013231%"
"2024-11-16 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-16 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-16 01:00:00","BTCUSDT Perpetual","8h","0.010977%"
"2024-11-15 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-15 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-15 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-14 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-14 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-14 01:00:00","BTCUSDT Perpetual","8h","0.021856%"
"2024-11-13 17:00:00","BTCUSDT Perpetual","8h","0.013101%"
"2024-11-13 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-13 01:00:00","BTCUSDT Perpetual","8h","0.038754%"
"2024-11-12 17:00:00","BTCUSDT Perpetual","8h","0.043737%"
"2024-11-12 09:00:00","BTCUSDT Perpetual","8h","0.049133%"
"2024-11-12 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-11 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-11 09:00:00","BTCUSDT Perpetual","8h","0.036877%"
"2024-11-11 01:00:00","BTCUSDT Perpetual","8h","0.014113%"
"2024-11-10 17:00:00","BTCUSDT Perpetual","8h","0.025603%"
"2024-11-10 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-10 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-09 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-09 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-09 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-08 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-08 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-08 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-07 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-07 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-07 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-06 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-06 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-06 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-05 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-05 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-05 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-04 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-04 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-04 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-03 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-03 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-03 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-02 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-02 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-02 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-01 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-01 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-11-01 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-10-31 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-10-31 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-10-31 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-10-30 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-10-30 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-10-30 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2024-10-29 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
